"大","名称(大)","中","名称(中)","小","名称(小)","細","名称(細)","該当例"
"","","","","","","161-99","他に分類されない福祉相談・指導専門員","査察指導員、児童心理司、心理判定員、福祉事務所ケースワーカー、福祉事務所地区担当員"
"","","","","162","福祉施設指導専門員 ","162-01","老人福祉施設指導専門員","機能訓練指導員（老人福祉施設）、生活指導員（老人福祉施設）、生活相談員（老人福祉施設）"
"","","","","","","162-02","障害者福祉施設指導専門員","作業指導員、職業指導員、職能判定員、就労支援員（障害者施設）、生活支援員（障害者施設）"
"","","","","","","162-03","児童福祉施設指導専門員","児童指導員（児童養護施設）、児童自立支援専門員、児童生活支援員、少年指導員、母子指導員"
"","","","","163","保育士","163-01","保育士","保育士"
"","","","","169","その他の社会福祉の専門的職業","169-01","介護支援専門員","ケアマネージャー"
"","","","","","","169-02","医療ソーシャルワーカー","医療ソーシャルワーカー（MSW）、精神医療ソーシャルワーカー（PSW）、精神保健福祉士、病院ケースワーカー"
"","","","","","","169-99","他に分類されない社会福祉の専門的職業","心理カウンセラー（社会福祉施設）、スクールソーシャルワーカー、相談員（社会福祉協議会）、相談員（地域包括支援センター）、福祉用具専門相談員"
"","","17","法務の職業","171","裁判官","171-01","裁判官","判事"
"","","","","172","検察官","172-01","検察官",""
"","","","","173","弁護士","173-01","弁護士","弁護士"
"","","","","174","弁理士","174-01","弁理士","弁理士"
"","","","","175","司法書士","175-01","司法書士","司法書士"
"","","","","179","その他の法務の職業","179-01","土地家屋調査",""
"","","","","","","179-99","他に分類されない法務の職業","海難審判所審判官、公証人、裁判所書記官、裁判所調査官、特許庁審判官"
"","","18","経営・金融・保険の専門的職業","181","公認会計士","181-01","公認会計士","会計士補"
"","","","","182","税理士","182-01","税理士",""
"","","","","183","社会保険労務士","183-01","社会保険労務士","社会保険労務士"
"","","","","184","金融・保険専門職","184-01","金融・保険専門職","アクチュアリー、金融商品開発者、証券アナリスト、ファンドマネージャ、保険商品開発者"
"","","","","189","その他の経営・金融・保険の専門的職業","189-01","経営コンサルタント","経営指導員（商工会議所、商工会）、中小企業診断士"
"","","","","","","189-99","他に分類されない経営・金融・保険の専門的職業","インキュベーションマネージャ、農業協同組合監査士"
"","","19","教育の職業","191","幼稚園教員","191-01","幼稚園教員","幼稚園教諭、幼稚園養護教諭"
"","","","","192","小学校教員","192-01","小学校教員","小学校教諭、小学校養護教諭"
"","","","","193","中学校教員","193-01","中学校教員","中学校教諭、中学校養護教諭"
"","","","","194","高等学校教員","194-01","高等学校教員","高等学校教諭、高等学校養護教諭"
"","","","","195","中等教育学校教員","195-01","中等教育学校教員","中等教育学校教諭、中等教育学校養護教諭"
"","","","","196","特別支援学校教員","196-01","特別支援学校教員","特別支援学校教諭、特別支援学校養護教諭"
"","","","","197","高等専門学校教員","197-01","高等専門学校教員","高等専門学校教授、高等専門学校准教授、高等専門学校助教"
"","","","","198","大学教員","198-01","大学教員","大学教授、大学准教授、大学講師、大学助教"
"","","","","199","その他の教育の職業","199-01","専修学校教員","看護専門学校教員、経理・簿記専門学校教員、自動車整備専門学校教員、調理専門学校教員、デザイン専門学校教員、服飾専門学校教員、保育専門学校教員、理美容専門学校教員"
"","","","","","","199-02","各種学校教員","英会話学院教師（各種学校）、学習塾教師（各種学校）、自動車教習所指導員、日本語教師、予備校教師、料理学校教師（各種学校）"
"","","","","","","199-03","職業訓練指導員","職業訓練指導員（障害者職業能力開発校）、職業訓練指導員（職業能力開発促進センター）"
"","","","","","","199-04","研修施設教員","インストラクター（企業内従業員教育訓練専門員）"
"","","","","","","199-99","他に分類されない教育の職業","きょう正指導員、准看護師養成所教員"
"","","20","宗教家","201","宗教家","201-01","宗教家","キリスト教聖職者、神職、仏教僧侶"
"","","21","著述家、記者、編集者","211","著述家","211-01","文芸家","作詞家、作家、詩人、小説家、随筆家"
"","","","","","","211-02","翻訳家","翻訳者"
"","","","","","","211-03","コピーライター ","クリエイター（広告コピーを創作するもの）、ポップライター（店頭広告創案家）"
"","","","","","","211-99","他に分類されない著述家","脚本家、シナリオライター、評論家"
"","","","","212","記者","212-01","新聞・放送記者","新聞記者、新聞論説員、通信記者、放送記者"
"","","","","","","212-02","雑誌記者","雑誌記者"
"","","","","","","212-03","テクニカルライター","マニュアルライター"
"","","","","","","212-99","他に分類されない記者","スポーツライター、トラベルライター、ルポライター"
"","","","","213","編集者","213-01","新聞・雑誌・図書編集者","雑誌編集者、新聞編集員、図書編集者"
"","","","","","","213-99","他に分類されない編集者","映画編集者、社内報編集者（編集請負）、放送番組編成員"
"","","22","美術家、デザイナー、写真家、映像撮影者","221","彫刻家","221-01","彫刻家","美術彫刻家"
"","","","","222","画家、書家、漫画家","222-01","画家、書家","書道家、日本画家、版画家、洋画家"
"","","","","","","222-02","漫画家、イラストレーター","イラストレーター、劇画家、コミック作家、テクニカルイラストレーター"
"","","","","223","工芸美術家","223-01","工芸美術家","ガラス工芸家、漆工芸家、金属彫刻家、染織工芸家、陶芸家、刀匠、木工芸家"
"","","","","224","デザイナー","224-01","グラフィックデザイナー","広告デザイナー、サインデザイナー、パッケージデザイナー"
"","","","","","","224-02","ウェブデザイナー","ウェブクリエイター、Webデザイナー、ホームページデザイナー"
