"大","名称(大)","中","名称(中)","小","名称(小)","細","名称(細)","該当例"
"","","","","","","499-99","他に分類されない生産設備制御・監視の職業（金属材料製造、金属加工、金属溶接・溶断）","金属線製品製造設備オペレーター、金属焙焼設備オペレーター、くぎ製造設備オペレーター、ばね製造設備オペレーター（冷間成形によるもの）、はんだ付設備オペレーター、粉鉱石焼結設備オペレーター、粉末冶金製品製造設備オペレーター、ろう付設備オペレーター"
"","","50","生産設備制御・監視の職業（金属材料製造、金属加工、金属溶接・溶断を除く）","501","化学製品生産設備制御・監視員","501-01","石油精製設備制御・監視員","潤滑油製造設備オペレーター、石油精製設備オペレーター、石油タンクオペレーター、燃料製造設備オペレーター"
"","","","","","","501-02","基礎的化学製品製造設備制御・監視員","化学繊維原料製造設備オペレーター、化学肥料製造設備オペレーター、化学薬品製造設備オペレーター、石油化学製品製造設備オペレーター、汎用樹脂製造設備オペレーター、無機材料製造設備オペレーター、有機薬品製造設備オペレーター"
"","","","","","","501-03","化学繊維製造設備制御・監視員","化学繊維後処理設備オペレーター、化学繊維原液調整設備オペレーター、化学繊維精練設備オペレーター、化学繊維漂白設備オペレーター、化学繊維紡糸設備オペレーター"
"","","","","","","501-04","医薬品・化粧品製造設備制御・監視員","医薬品製造設備オペレーター、化粧品製造設備オペレーター"
"","","","","","","501-99","他に分類されない化学製品生産設備制御・監視員","インク製造設備オペレーター、絵具製造設備オペレーター、化学製品原料粉砕設備オペレーター、感光剤材料製造設備オペレーター、合成洗剤製造設備オペレーター、香料製造設備オペレーター、殺虫剤製造設備オペレーター、製塩設備オペレーター、石けん製造設備オペレーター、塗料製造設備オペレーター、農薬製造設備オペレーター、フィルム製造設備オペレーター、油脂製品製造設備オペレーター"
"","","","","502","窯業製品生産設備制御・監視員","502-01","ガラス製品製造設備制御・監視員","ガラス研磨設備オペレーター、ガラス成形設備オペレーター、ガラス繊維製造設備オペレーター、ガラス熱加工設備オペレーター、ガラス熱処理設備オペレーター"
"","","","","","","502-02","ファインセラミックス製品製造設備制御・監視員","シリコンウェハー製造設備オペレーター、半導体ウェハー製造設備オペレーター、ファインセラミックス製品製造設備オペレーター"
"","","","","","","502-03","セメント製造設備制御・監視員","セメント製造設備オペレーター"
"","","","","","","502-99","他に分類されない窯業製品生産設備制御・監視員","かわら製造設備オペレーター、研磨用材製造設備オペレーター、コンクリート製品製造設備オペレーター、石灰製造設備オペレーター、石こう製品製造設備オペレーター、陶磁器製造設備オペレーター、生コンクリート製造設備オペレーター、窯業原料加工設備オペレーター、るつぼ製造設備オペレーター、れんが製造設備オペレーター"
"","","","","503","食料品生産設備制御・監視員","503-01","精穀・製粉・調味食品製造設備制御・監視員","香辛料製造設備オペレーター、ジャム製造設備オペレーター、しょう油製造設備オペレーター、食用油脂製品製造設備オペレーター、精穀設備オペレーター、製糖設備オペレーター、製粉設備オペレーター、精米設備オペレーター、調味料製造設備オペレーター（製塩を除く）、マーガリン製造設備オペレーター、マヨネーズ製造設備オペレーター、味そ製造設備オペレーター"
"","","","","","","503-02","めん類・パン・菓子製造設備制御・監視員","スナック菓子製造設備オペレーター、パン製造設備オペレーター、めん類製造設備オペレーター、焼菓子製造設備オペレーター、洋生菓子製造設備オペレーター、和生菓子製造設備オペレーター、和干菓子製造設備オペレーター"
"","","","","","","503-03","乳・乳製品製造設備制御・監視員","アイスクリーム製造設備オペレーター、飲用乳製造設備オペレーター、チーズ製造設備オペレーター、乳酸発酵製品製造設備オペレーター、バター製造設備オペレーター、粉乳製造設備オペレーター、練乳製造設備オペレーター"
"","","","","","","503-99","他に分類されない食料品生産設備制御・監視員","かん詰食品製造設備オペレーター、水産ねり物製造設備オペレーター、豆腐製造設備オペレーター、納豆製造設備オペレーター、びん詰食品製造設備オペレーター、弁当製造設備オペレーター、保存食品製造設備オペレーター、冷凍加工食品製造設備オペレーター、レトルト食品製造設備オペレーター"
"","","","","504","飲料・たばこ生産設備制御・監視員","504-01","飲料・たばこ生産設備制御・監視員","清酒製造設備オペレーター、製茶設備オペレーター、清涼飲料製造設備オペレーター、たばこ製造設備オペレーター、ビール製造設備オペレーター"
"","","","","505","紡織・衣服・繊維製品生産設備制御・監視員","505-01","紡織・衣服・繊維製品生産設備制御・監視員","編機オペレーター、刺しゅう設備オペレーター、織布設備オペレーター、織機オペレーター、製網設備オペレーター（繊維製）、精練設備オペレーター（繊維製品）、繊維製品仕上プレス設備オペレーター、染色設備オペレーター（紡績、織物製造）、布裁断設備オペレーター、ねん糸設備オペレーター、漂白設備オペレーター（繊維製品）、フェルト製造設備オペレーター、不織布製造設備オペレーター、縫製設備オペレーター、紡績設備オペレーター"
"","","","","506","木製製品・パルプ・紙・紙製品生産設備制御・監視員","506-01","製材・合板製造設備制御・監視員","原木切断設備オペレーター、合板製造設備オペレーター、製材設備オペレーター、木材チップ製造設備オペレーター、木質ボード製造設備オペレーター"
"","","","","","","506-02","パルプ製造・抄紙設備制御・監視員","紙裁断設備オペレーター、抄紙設備オペレーター、紙料調合設備オペレーター、段ボール原紙製造設備オペレーター、パルプ製造設備オペレーター"
"","","","","","","506-03","加工紙・紙製品製造設備制御・監視員","加工紙製造設備オペレーター、紙製品製造設備オペレーター、紙器製造設備オペレーター、段ボールシート製造設備オペレーター"
"","","","","507","印刷・製本設備制御・監視員","507-01","印刷・製本設備制御・監視員","印刷設備オペレーター、印刷物光沢加工設備オペレーター、製本設備オペレーター、はく押し設備オペレーター"
"","","","","508","ゴム・プラスチック製品生産設備制御・監視員","508-01","ゴム製品製造設備制御・監視員","原料ゴム加工設備オペレーター、ゴム裁断設備オペレーター、ゴム製品製造設備オペレーター、ゴム接合設備オペレーター、ゴム塗布設備オペレーター、タイヤ製造設備オペレーター"
"","","","","","","508-02","プラスチック製品製造設備制御・監視員","原料プラスチック加工設備オペレーター、プラスチック研磨設備オペレーター、プラスチック裁断設備オペレーター、プラスチック成形設備オペレーター、プラスチック製品製造設備オペレーター、プラスチック接合設備オペレーター、プラスチック切削設備オペレーター"
"","","","","509","その他の生産設備制御・監視の職業（金属材料製造、金属加工、金属溶接・溶断を除く）","509-99","その他の生産設備制御・監視の職業（金属材料製造、金属加工、金属溶接・溶断を除く）","運動具製造設備オペレーター、楽器製造設備オペレーター、がん具製造設備オペレーター、配合飼料製造設備オペレーター、筆記用具製造設備オペレーター"
"","","51","生産設備制御・監視の職業（機械組立）","511","一般機械器具組立設備制御・監視員","511-01","一般機械器具組立設備制御・監視員","印刷機械組立設備オペレーター、機械部品組立設備オペレーター、業務用空調機器組立設備オペレーター、金属加工機械組立設備オペレーター、建設機械組立設備オペレーター、原動機組立設備オペレーター、娯楽機械組立設備オペレーター、サービス用機械組立設備オペレーター、製本機械組立設備オペレーター、農業用機械組立設備オペレーター、半導体製造装置組立設備オペレーター"
"","","","","512","電気機械器具組立設備制御・監視員","512-01","電気機械器具組立設備制御・監視員","電気機械組立設備オペレーター、電気機械部品組立設備オペレーター、電気通信機械器具組立設備オペレーター、電子応用機械器具組立設備オペレーター、電子機器部品組立設備オペレーター、半導体製品製造設備オペレーター、民生用電気機械器具組立設備オペレーター"
"","","","","513","自動車組立設備制御・監視員","513-01","自動車組立設備制御・監視員","自動車組立設備オペレーター、自動車部分品組立設備オペレーター、自動車部品取付設備オペレーター"
"","","","","514","輸送用機械器具組立設備制御・監視員（自動車を除く）","514-01","輸送用機械器具組立設備制御・監視員（自動車を除く）","航空機部分品組立設備オペレーター、鉄道車両部分品組立設備オペレーター"
"","","","","515","計量計測機器・光学機械器具組立設備制御・監視員","515-01","計量計測機器・光学機械器具組立設備制御・監視員","計量計測機器組立設備オペレーター、光学機械器具組立設備オペレーター、時計組立設備オペレーター、レンズ研磨設備オペレーター"
"","","52","金属材料製造、金属加工、金属溶接・溶断の職業","521","製銑工、製鋼工","521-01","製銑工","炉前工（高炉）"
"","","","","","","521-02","製鋼工","造塊工（製鋼）、電気炉工（製鋼）、転炉炉前工（製鋼）"
"","","","","","","521-03","鋳物用鉄溶融工","キュポラ工（鋳物用鉄溶融）、電気炉工（鋳物用鉄溶融）"
"","","","","","","521-99","他に分類されない製銑工、製鋼工","高炉冷却工、トーピードカー運転員、取べ運搬員、フェロアロイ製造工、溶銑輸送員"
"","","","","522","非鉄金属製錬工","522-01","非鉄金属溶融炉工","鋳物用非鉄金属溶融工、ダイカスト用アルミニウム溶融工、非鉄金属鋳込造塊工、炉前工（非鉄金属製錬）"
"","","","","","","522-02","非鉄金属電解工 ","銅電解工、非鉄金属浸出・浄液工"
"","","","","","","522-03","半導体材料精錬工（多結晶シリコンなど）","多結晶シリコン製造工"
"","","","","","","522-99","他に分類されない非鉄金属製錬工","亜鉛蒸留工"
"","","","","523","鋳物製造工","523-01","鋳物工","アルミニウム鋳物工、鋳型工、鋳込工、可鍛鋳鉄鋳物工、機械込造型工、銑鉄鋳物工、調砂工、手込造型工、中子工、非鉄金属鋳物工"
"","","","","","","523-02","鋳物仕上工","鋳物型ばらし工、鋳物切断・補修工、鋳物はつり工、ショット・ブラスト工（鋳物製造）"
"","","","","524","鍛造工","524-01","鍛造加熱炉工","鍛造操炉工、火床係"
"","","","","","","524-02","自由鍛造工","鍛造ハンマ工、鍛造プレス工"
"","","","","","","524-03","型鍛造工","型鍛造プレス工"
"","","","","","","524-04","手かじ工","工具かじ工"
"","","","","","","524-99","他に分類されない鍛造工","鍛造工助手、鍛造バリ取り工、ばね製造工（熱間成形によるもの）、ローリング鍛造工"
"","","","","525","金属熱処理工","525-01","金属熱処理工","高周波焼入焼戻し工、浸炭焼入焼戻し工、焼入焼戻し工、焼なまし・焼ならし工"
"","","","","526","圧延工","526-01","圧延工","圧延加熱炉工、圧延仕上工、圧延ロール整備工、鋼板圧延工、シームレス鋼管工、条鋼圧延工、ステンレス鋼板工、展延工（非鉄金属箔）、電縫管工、熱間圧延工、表面処理鋼板工、溶接鋼管工、冷間圧延工"
"","","","","527","汎用金属工作機械工","527-01","旋盤工","旋盤工"
"","","","","","","527-02","ボール盤工","金属穴あけ工（ボール盤によるもの）"
"","","","","","","527-03","フライス盤工","フライス盤工"
"","","","","","","527-04","研削盤工、仕上機械工","グラインダー工（金属研削）、研削盤工、バフ盤工、ホーニング盤工、ラップ盤工"
"","","","","","","527-99","他に分類されない汎用金属工作機械工","実習助手（学校における汎用金属工作機械の実習）、中ぐり盤工、ねじ切盤工、歯切盤工、歯車仕上盤工、平削盤工、放電加工機工、ワイヤ放電加工機工"
"","","","","528","数値制御金属工作機械工","528-01","NC旋盤工","NC旋盤工"
"","","","","","","528-02","NCフライス盤工","NCフライス盤工"
"","","","","","","528-03","マシニングセンタオペレーター","MCオペレーター"
"","","","","","","528-04","NC金属特殊加工機工","NC放電加工機工、NCワイヤカット放電加工機工、NCレーザー加工機工"
"","","","","","","528-99","他に分類されない数値制御金属工作機械工","NC研削盤工、NC中ぐり盤工、NCねじ切盤工、NC歯切盤工、NC歯車仕上盤工、NC平削盤工、NCホーニング盤工、NCボール盤工、NCラップ盤工、実習助手（学校における数値制御金属工作機械の実習）、ターニングセンタオペレーター"
"","","","","531","金属プレス工","531-01","プレス成形工（打抜プレス、曲プレスを除く）","NCプレス機械工（打抜プレス、曲プレスを除く）、金属プレス工（打抜プレス、曲プレスを除く）、絞プレス工、プレス刻印工"
"","","","","","","531-02","打抜プレス工","NCタレットパンチプレス工、タレットパンチプレス工"
"","","","","","","531-03","曲プレス工","NCベンダー工、ブレーキプレス工、ベンダー工"
"","","","","532","鉄工、製缶工","532-01","建築鉄工","鉄骨工"
"","","","","","","532-02","造船鉄工","船体ブロック組立工、造船工"
"","","","","","","532-03","製缶工","圧力容器組立工、製缶工（圧力容器）、製缶工（タンク）、製缶工（ボイラー）、タンク製缶工、ボイラー組立工"
"","","","","","","532-99","他に分類されない鉄工、製缶工","機械鉄工、橋りょう鉄工"
"","","","","533","板金工","533-01","建築板金工 ","金属サイディング工、ダクト工、トタン屋根ふき工"
"","","","","","","533-02","工場板金工","精密板金工"
"","","","","","","533-03","自動車板金工","板金工（自動車修理業）、板金塗装工（自動車修理業）"
"","","","","","","533-99","他に分類されない板金工","製缶工（缶詰・飲料用の缶）、製缶板金工、ドラム缶製造工"
"","","","","534","めっき工、金属研磨工","534-01","電気めっき工","電気めっき工"
"","","","","","","534-02","めっき工（電気めっきを除く）","アルマイト工、化学めっき工、化成処理工、気相めっき工、真空めっき工、防せい処理工、陽極処理工、溶射めっき工、溶融めっき工"
"","","","","","","534-03","金属材料・製品研磨工","金属研磨工、工具研磨工、刃物とぎ工"
"","","","","","","534-04","金属手仕上工","金属きさげ工、金属はつり工、金属やすり掛け工、のこ目立職"
"","","","","535","くぎ・ばね・金属線製品製造工","535-01","くぎ・ばね・金属線製品製造工","金網編工、金属線製品製造工、くぎ類製造工、スプリング製造工（冷間成形によるもの）、ばね製造工（冷間成形によるもの）、針製造工、ワイヤーロープ製造工"
"","","","","536","金属製品製造工","536-01","金属製家具・建具製造工","アルミサッシ組立工、金属製家具製造工、金属製建具製造工"
"","","","","","","536-02","治工具製造工","工具製造工、治具製造工、やすり製造工"
"","","","","","","536-03","金型製造工","金型工、金型修理工"
"","","","","","","536-04","刃物製造工","刃物製造工"
"","","","","","","536-05","金具製造工","金具製造工"
"","","","","","","536-99","他に分類されない金属製品製造工","管継手製造工、鋼球製造工"
"","","","","537","金属溶接・溶断工","537-01","アーク溶接工","アルゴン溶接工、炭酸ガスアーク溶接工、ティグ溶接工、半自動アーク溶接工、被覆アーク溶接工"
"","","","","","","537-02","抵抗溶接工","シーム溶接工、スポット溶接工"
"","","","","","","537-03","ガス溶接工","酸素アセチレンガス溶接工"
"","","","","","","537-04","ガス切断工","酸素アセチレンガス切断工"
"","","","","","","537-05","自動溶接・溶断機運転工","自動ガス切断機運転工、自動電気溶接機運転工、自動レーザー切断機運転工"
"","","","","","","537-99","他に分類されない金属溶接・溶断工","プラズマ切断工、レーザー切断工、レーザー溶接工"
"","","","","539","その他の金属材料製造、金属加工、金属溶接・溶断の職業","539-01","伸線工","伸線工"
"","","","","","","539-02","ろう付工、はんだ付工","はんだ付工、ろう付工"
"","","","","","","539-03","金型取付工","金型取付工"
"","","","","","","539-04","金属切断工（刃物によるもの）","シャーリング工、せん断機工、バンドソー工、丸のこ盤工"
"","","","","","","539-05","ダイカスト工","ダイカスト工"
"","","","","","","539-06","機械解体処理工","自動車解体工、電気機械分解工、特定家庭用機器分解工、廃家電分解工、リサイクル家電分解工"
"","","","","","","539-99","他に分類されない金属材料製造、金属加工、金属溶接・溶断の職業","打貫工、金属材料原料工、金属彫刻工、金属焙焼工、けがき工、鉱石焼結工、粉末冶金成形工、粉末冶金製品製造工"
"","","54","製品製造・加工処理の職業（金属材料製造、金属加工、金属溶接・溶断を除く）","541","化学製品製造工","541-01","基礎的化学製品製造工","化学肥料製造工、汎用樹脂製造工、無機材料製造工、有機薬品製造工"
"","","","","","","541-02","化学繊維工","化学繊維後処理工、化学繊維原液調整工、化学繊維精練工、化学繊維漂白工、化学繊維紡糸工"
"","","","","","","541-03","石けん・洗剤・油脂製品製造工","合成洗剤製造工、石けん製造工、油脂製品製造工"
"","","","","","","541-04","医薬品製造工","アンプル充填工、医薬品仕上工、漢方薬製造工、原薬製造工、抗生物質種母培養工、製剤工、注射液製造工、ドリンク剤製造工"
"","","","","","","541-05","化粧品製造工","口紅製造工、クリーム製造工（化粧品製造）、香水製造工、シャンプー製造工、乳液製造工、歯磨剤製造工"
"","","","","","","541-06","感光剤材料製造工（フィルムを除く）","X線フィルム増感紙製造工、感光紙製造工、感光乳剤製造工、写真乳剤製造工"
"","","","","","","541-07","フィルム製造工","映画フィルム製造工、写真フィルム製造工、レントゲンフィルム製造工"
"","","","","","","541-08","塗料・絵具・インク製造工","インク製造工、絵具製造工、塗料製造工"
"","","","","","","541-09","他に分類されない化学製品製造工","化学製品原料粉砕工、顔料製造工、香料製造工、殺虫剤製造工、製塩工、線香製造工、農薬製造工、花火師"
"","","","","542","窯業・土石製品製造工","542-01","ガラス製品製造工","鏡銀引き工、ガラスカッティング工、ガラス成形工、ガラス繊維製造工、ガラス彫刻工、ガラス熱加工工、ガラス熱処理工"
"","","","","","","542-02","れんが・かわら類製造工","かわら乾燥工、かわら成形工、かわら焼成工、れんが乾燥工、れんが成形工、れんが焼成工"
"","","","","","","542-03","陶磁器製造工","タイル製造工（陶磁器製品製造）、陶磁器研磨工、陶磁器焼成工、陶磁器成形工"
"","","","","","","542-04","ファインセラミックス製品製造工","ウェハー研磨工、ウェハー製造工、ウェハー洗浄工、シリコン切断工、ファインセラミックス製品研磨工、ファインセラミックス製品焼成工、ファインセラミックス製品成形工"
"","","","","","","542-05","セメント製造工","セメント原料工、セメント仕上工"
"","","","","","","542-06","コンクリート製品製造工（生コンクリートを除く）","コンクリートパイプ製造工、コンクリートパネル製造工、コンクリートブロック製造工、セメントスレート製造工"
"","","","","","","542-07","生コンクリート製造工","現場練りコンクリート製造工、生コンクリート工"
"","","","","","","542-08","研磨用材製造工","紙やすり製造工、研磨ディスク製造工、研磨布製造工、砥石製造工"
"","","","","","","542-09","土石製品製造工","石切工、石研磨工、石工、石細工工、石積工、石彫工、石割工、墨出し工、墓石工、はつり工（石材加工業）"
"","","","","","","542-99","他に分類されない窯業・土石製品製造工","七宝工、石灰製造工、石こう製品製造工、施ゆう工、ほうろうがけ工、窯業絵付工、窯業原料工、るつぼ製造工"
"","","","","543","精穀・製粉・調味食品製造工","543-01","精穀工","精麦工、精米工"
"","","","","","","543-02","製粉工","小麦粉製造工、でん粉製造工"
"","","","","","","543-03","味そ・しょう油製造工","しょう油製造工、みそ製造工"
"","","","","","","543-99","他に分類されない精穀・製粉・調味食品製造工","イースト製造工、うま味調味料製造工、乾燥スープ製造工、酵母・こうじ製造工、香辛料製造工、ジャム製造工、食用油脂製品製造工、酢製造工、製糖工、ソース製造工、動植物油脂製造工、トマトケチャップ製造工、ピーナッツバター製造工、マーガリン製造工、マヨネーズ製造工、水飴製造工"
"","","","","544","めん類製造工","544-01","製めん工","うどん製造工、スパゲッティ製造工、手打ちそば製造工、ラーメン製造工"
"","","","","","","544-02","即席めん類製造工","インスタントラーメン製造工、即席めん製造工"
"","","","","","","544-99","他に分類されないめん類製造工","ぎょうざ皮製造工、シューマイ皮製造工、はるさめ製造工、マカロニ製造工、ワンタン皮製造工"
"","","","","545","パン・菓子製造工","545-01","パン・焼菓子製造工","製パン工、パン生地仕込工、パン焼成工、焼菓子焼成工、焼菓子成形工"
"","","","","","","545-02","洋生菓子製造工","カステラ製造工、ケーキ製造工、シュークリーム製造工、ゼリー製造工、パティシエ（洋生菓子製造）、プリン製造工、洋生菓子仕上工、洋生菓子仕込工"
"","","","","","","545-03","和生菓子製造工","製あん工、大福製造工、どらやき製造工、まんじゅう製造工、もなか製造工、ようかん製造工、和生菓子仕上工"
"","","","","","","545-04","和干菓子製造工","あられ製造工、おこし製造工、かりんとう製造工、せんべい製造工、豆菓子製造工、らくがん製造工"
"","","","","","","545-05","スナック菓子・キャンデー・チョコレート製造工","あめ製造工、キャラメル製造工、キャンデー製造工、チョコレート製造工、ドロップ製造工、ポテトチップス製造工、ヌガー製造工"
"","","","","","","545-99","他に分類されないパン・菓子製造工","アイスキャンデー製造工、甘納豆製造工、板ガム製造工、中華まんじゅう製造工、つけ物菓子製造工、シャーベット製造工、綿菓子製造工"
"","","","","546","豆腐・こんにゃく・ふ製造工","546-01","豆腐・油揚等製造工","油揚製造工、がんもどき製造工、凍豆腐製造工、豆腐製造工、納豆製造工、生揚製造工、焼豆腐製造工、湯葉製造工"
"","","","","","","546-02","こんにゃく製造工","板こんにゃく製造工、糸こんにゃく製造工、白滝製造工、玉こんにゃく製造工"
"","","","","","","546-03","ふ製造工","揚麩製造工、角麩製造工、生麩製造工、焼麩製造工"
"","","","","547","かん詰・びん詰・レトルト食品製造工","547-01","かん詰食品製造工 ","かん詰食品原料調理工、かん詰食品殺菌加熱工、かん詰食品充填工、かん詰食品密封工、巻締脱気工（缶詰製造）"
"","","","","","","547-02","びん詰食品製造工","びん詰食品原料調理工、びん詰食品殺菌加熱工、びん詰食品充填工、びん詰食品密封工"
"","","","","","","547-03","レトルト食品製造工","レトルト食品原料調理工、レトルト食品殺菌加熱工、レトルト食品充填工、レトルト食品密封工"
"","","","","548","乳・乳製品製造工","548-01","飲用乳製造工","牛乳製造工、牛乳びん詰工、生乳殺菌工、低脂肪乳製造工、特濃牛乳製造工"
"","","","","","","548-02","乳酸発酵製品製造工","乳酸菌飲料製造工、発酵乳製造工、ヨーグルト製造工"
"","","","","","","548-03","アイスクリーム製造工","アイスクリーム原料計量工、アイスクリーム充填工、アイスクリーム冷却工"
"","","","","","","548-99","他に分類されない乳・乳製品製造工","粉ミルク製造工、コンデンスミルク製造工、チーズ製造工、バター製造工、粉乳製造工、練乳製造工"
"","","","","551","食肉加工品製造工","551-01","精肉工","枝肉解体工、枝肉処理工、食肉加工工、ひき肉製造工、ミンチ製造工"
"","","","","","","551-02","ハム・ベーコン・ソーセージ製造工","ウインナー製造工、カッター工（肉製品）、くん煙工（肉製品）、仕込工（鳥獣肉製品）、肉詰工（ハム・ソーセージ製造）、ボイル工（ハム・ソーセージ製造）"
"","","","","","","551-99","他に分類されない食肉加工品製造工","粕漬け肉製造工、牛肉つくだ煮製造工、食用鶏解体工"
"","","","","552","水産物加工工","552-01","かつお節類製造工","荒節製造工、かつお生切工、かつお骨抜工、枯節製造工、さば節製造工、なまり節製造工、まぐろ節製造工"
"","","","","","","552-02","魚介干物製造工","あじ干物製造工、桜えび加工工、するめ製造工、煮干製造工、干貝柱製造工、干のり製造工、干ひじき加工工"
"","","","","","","552-03","水産ねり物製造工","蒲鉾製造工、魚肉ソーセージ製造工、さつま揚製造工、ちくわ製造工、はんぺん製造工"
"","","","","","","552-99","他に分類されない水産物加工工","いか塩辛製造工、数の子加工工、寒天製造工、魚介くん製製造工、こんぶ加工工、水産物塩蔵工、水産珍味製造工、つくだ煮製造工、ところてん製造工"
"","","","","553","保存食品・冷凍加工食品製造工","553-01","保存食品製造工 ","お茶漬け海苔製造工、即席みそ汁製造工、包装米飯製造工"
"","","","","","","553-02","冷凍加工食品製造工","冷凍うどん製造工、冷凍えびフライ製造工、冷凍コロッケ製造工、冷凍ピラフ製造工"
"","","","","554","弁当・惣菜類製造工 ","554-01","弁当・惣菜類製造工 ","揚物製造工、惣菜製造工、調理パン製造工、弁当製造工"
"","","","","555","野菜つけ物工 ","555-01","野菜つけ物工 ","梅干漬工、千枚漬工、沢庵漬工、漬物職人（野菜）、福神漬製造工、野菜塩漬工、らっきょう漬工"
"","","","","556","飲料・たばこ製造工 ","556-01","製茶工","製茶工"
"","","","","","","556-02","清酒製造工","清酒製造作業員、杜氏"
"","","","","","","556-03","酒類製造工（清酒を除く）","果実酒製造工、焼ちゅう製造工、ビール製造工、みりん製造工、ワイン製造工"
"","","","","","","556-04","清涼飲料製造工","茶系飲料製造工、ミネラルウォーター製造工、ミルクコーヒー製造工"
"","","","","","","556-05","たばこ製造工","たばこ製造工"
"","","","","","","556-99","他に分類されない飲料・たばこ製造工","インスタントコーヒー製造工、コーヒー豆焙煎工、粉末飲料製造工"
"","","","","557","紡織工","557-01","粗紡工、精紡工","混打綿工、精紡工、粗紡工、紡績工"
"","","","","","","557-02","ねん糸工、加工糸工","加工糸工、合糸工、ねん糸工"
"","","","","","","557-03","織布準備工","織機準備工、整経工、はた（機）ごしらえ工、へ（経）通工"
"","","","","","","557-04","織布工","織機操作工、製織工"
"","","","","","","557-05","精練・漂白工","精練工（紡績、織物製造）、漂白工（紡績、織物製造）、漂白仕上工（紡績、織物製造）"
"","","","","","","557-06","染色・仕上工","織物染工、糸染工、浸染工、スクリーンなっ染工、染色仕上工（紡績、織物製造）、染物職、調色工（繊維）、なっ染工、友禅染工"
"","","","","","","557-07","編物工、編立工","編機準備工、編立工、編物工、機械レース編工、くつ下編工、手編工、ニット生地編立工、ニット製品編立工、レース編工"
"","","","","","","557-08","つな・あみ製造工","あみ製造工、つな製造工、ひも製造工"
"","","","","","","557-09","フェルト・不織布製造工","不織布製造工、フェルト製造工"
"","","","","","","557-99","他に分類されない紡織工","糸仕上工、製糸工、織布後処理工、製綿工、綿打直工"
"","","","","558","衣服・繊維製品製造工","558-01","婦人服・子供服仕立職","ドレスメーカー、婦人既製服仕立工、婦人服仕立職、婦人服注文仕立職、子供既製服仕立工、子供服仕立職、子供服注文仕立職、洋裁師（婦人服・子供服仕立）"
"","","","","","","558-02","紳士服仕立職","紳士既製服仕立工、紳士服注文仕立職、テーラー、洋裁師（紳士服仕立）"
"","","","","","","558-03","和服仕立職","和裁人"
"","","","","","","558-04","衣服修理工","衣服寸法直し人、紳士服修理工、婦人服・子供服修理工、洋服修理職、リフォーマー（衣服）、和服修理職"
"","","","","","","558-05","布裁断工","機械裁断工、手裁断工（布）"
"","","","","","","558-06","ミシン縫製工（衣服）","衣服ミシン縫製工、下着縫製工、シャツ縫製工、紳士服縫製工、縫製作業員（衣服）、ニット縫製工、婦人服・子供服縫製工"
"","","","","","","558-07","ミシン縫製工（身の回り品）","衣服以外のミシン縫製工、カーテン縫製工、キルティング縫製工、織布ミシン縫工、身の回り品ミシン縫製工、縫製作業員（身の回り品）"
"","","","","","","558-08","特殊ミシン縫製工 ","縫製作業員（特殊縫製ミシン）"
"","","","","","","558-09","刺しゅう工","機械刺しゅう工、手刺しゅう工"
"","","","","","","558-10","衣服・繊維製品仕上工","繊維製品仕上工、繊維製品手仕上工、繊維製品プレス工"
"","","","","","","558-99","他に分類されない衣服・繊維製品製造工","革縫製工（衣服製造）、カンバス製品製造工、毛皮裁断工（衣服）、寝具仕立工、帆布製品製造工、帽子製造工（布製）、皮革製衣服仕立工、布団綿入工"
"","","","","561","木製製品製造工","561-01","製材工、チップ製造工","原木切断工、チッパー工、チップ選別工、鋸機械工"
"","","","","","","561-02","合板工","化粧合板製造工、合板製作工、合板プレス工、集成材製造工、単板製作工、調板工、パーティクルボード製造工、木質ボード製造工"
"","","","","","","561-03","木工、木彫工","穴あけ木工、機械プレカット工、機械木工、木型木工、木彫工、人形彫職、木版製作工、木工研磨工、木工旋盤工、木工フライス盤工"
"","","","","","","561-04","木製家具・建具製造工","家具工、障子取付工、建具工、木製家具金具組立工、木製家具組立工、木製家具修理工"
"","","","","","","561-05","指物職","唐木指物職、木製鏡台製作工、神仏具指物職、仏壇製造職、宮師、寄木細工職人"
"","","","","","","561-06","木材防虫・防腐処理工","木材製品処理工、木材耐火処理工、木材防虫処理工、木材防腐処理工"
"","","","","","","561-99","他に分類されない木製製品製造工","い草製品製造工、稲わら製品製造工、き柳製品製造工、げた製造工、竹細工工、とう製品製造工、船大工、麦わら製品製造工、木製運動用品製造工、木製おけ製造工、木製たる製造工、木製曲物製造工"
"","","","","562","パルプ・紙・紙製品製造工","562-01","パルプ工、紙料工","紙料工、紙料調整工、紙料溶解工、パルプ工、パルプ磨砕工"
"","","","","","","562-02","紙すき工","紙手すき工、抄紙工、抄紙仕上工"
"","","","","","","562-03","段ボール製造工 ","段ボールシート製造工"
"","","","","","","562-04","加工紙製造工（段ボールを除く）","塗工紙製造工、防水紙製造工"
"","","","","","","562-05","紙器製造工","大型紙袋製造工、紙製食器製造工、紙箱製造工、機械製箱工、紙管筒製造工、段ボール箱製造工"
"","","","","","","562-06","紙製品製造工","紙ひも製造工、小型紙袋製造工、封筒製造工"
"","","","","","","562-07","紙裁断工","紙型抜き工、紙機械だち工、製本裁断工"
"","","","","","","562-99","他に分類されないパルプ・紙・紙製品製造工","紙加工工、紙仕上工、紙製品仕上工、紙巻取工"
"","","","","563","印刷・製本作業員","563-01","DTPオペレーター","DTPオペレーター"
